id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36413,-71.02991,Entire home/apt,125,29,26,2024-08-09,0.21,1,262,1,
5506,** Fort Hill Inn Private! Minutes to center!**,8229,Terry,,Roxbury,42.32844,-71.09581,Entire home/apt,142,3,137,2025-06-12,0.69,11,103,13,STR-490093
6695,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",8229,Terry,,Roxbury,42.32802,-71.09387,Entire home/apt,171,3,139,2025-04-24,0.72,11,93,11,STR-491702
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Beacon Hill,42.35867,-71.06307,Entire home/apt,140,91,29,2024-05-15,0.22,8,210,0,
10811,Bostons Best Rentals -Studio Prestigious Back Bay,38997,Michelle,,Back Bay,42.35173,-71.08685,Entire home/apt,152,91,9,2019-07-22,0.08,12,217,0,
10813,The Back Bay Nook  -Brownstone in Prestigious Area,38997,Michelle,,Back Bay,42.35061,-71.08787,Entire home/apt,202,32,5,2023-11-19,0.07,12,233,0,
10986,The Olive & Vine in The North End-Walk to MGH Tuft,38997,Michelle,,North End,42.36377,-71.05206,Entire home/apt,130,32,2,2025-03-31,0.11,12,330,1,
18711,230B1 | The Dorset Redline | 3BR 1BA w/AC | Pvt,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,161,30,52,2023-08-19,0.28,58,264,0,
29765,Moroccan Decor Suite,128280,Elizabeth,,Charlestown,42.37754,-71.06642,Entire home/apt,272,2,103,2024-10-27,0.56,1,77,2,STR-454024
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.31347,-71.11082,Private room,90,14,103,2025-05-11,0.57,1,235,4,STR-551851
45987,Garden Studio,205107,Atef,,Charlestown,42.37424,-71.06081,Entire home/apt,100,29,142,2025-05-24,0.79,1,239,3,STR-409822
47521,"Private Room, shared bath in Victorian House/ 1",119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,86,29,334,2024-09-02,1.86,5,362,1,STR-594613
60029,Room in geographical heart of Hub,255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,80,29,145,2024-02-29,0.82,1,209,0,STR-415714
60356,Bookcase 1bd facing Boston Common,26988,Anne,,Beacon Hill,42.35894,-71.0631,Entire home/apt,100,32,19,2020-09-08,0.13,8,170,0,
67774,Corner 1 bed facing Golden Dome,26988,Anne,,Downtown,42.35689,-71.06206,Entire home/apt,135,91,49,2024-05-31,0.32,8,261,0,
77681,Waterfall Room: Bunker Hill B&B,416912,Christiane,,Charlestown,42.37865,-71.06373,Private room,140,29,71,2023-11-04,0.42,1,365,0,STR-415924
77691,Private room in Victorian house,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,90,3,304,2025-01-10,1.75,5,361,4,STR-594613
163941,Fort Hill Inn  2 bed Duplex ApT!  Location!,8229,Terry,,Roxbury,42.32806,-71.09423,Entire home/apt,252,3,307,2025-06-09,1.82,11,101,32,STR-446659
184893,City Oasis/sleeps 4 near historical sites,887148,Dawn,,Charlestown,42.37823,-71.06778,Entire home/apt,,91,0,,,3,179,0,STR-539322
197727,"Great Boston neighborhood , Jamaica Plain",964356,Jill,,Jamaica Plain,42.31331,-71.12061,Private room,68,30,65,2025-04-21,0.39,1,262,6,
197972,Serene Studio in a Perfect Location,965697,Kristina,,Jamaica Plain,42.31533,-71.11025,Entire home/apt,135,3,555,2025-06-11,3.33,2,64,53,STR-409453
205894,Large bedroom in Victorian House/Room D,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,57,29,217,2024-10-08,1.29,5,319,1,STR-580274
210097,Treetop Haven in the City,1035747,Maria Elena,,Jamaica Plain,42.31685,-71.10867,Entire home/apt,108,3,322,2025-06-15,1.92,1,145,23,STR-545902
220676,Private room off the Freedom Trail.,1144302,Howard,,North End,42.36614,-71.05226,Private room,,3,356,2025-06-15,2.13,1,115,26,STR-454055
257588,BOSTON LUXURY FOR LESS!! NEAR BCEC,1355344,Meri,,South Boston,42.33255,-71.04125,Entire home/apt,318,2,523,2025-06-01,3.33,1,307,44,STR-411297
